X,Y,OBJECTID,Concelho,ConfirmadosAcumulado,Recuperados,Obitos,Data,Dicofre
-16.976537107,32.702567147,9103,CÂMARA DE LOBOS,3,0,0,2020/03/24 12:00:00,3102
-7.43699353599993,41.750213698,9104,CHAVES,3,0,0,2020/03/24 12:00:00,1703
-8.4997546499999,40.0987905850001,9105,CONDEIXA-A-NOVA,3,0,0,2020/03/24 12:00:00,0604
-7.24488383099998,40.519773038,9106,GUARDA,3,0,0,2020/03/24 12:00:00,0907
-8.45358181499995,37.125775649,9107,LAGOA (FARO),3,0,0,2020/03/24 12:00:00,0806
-8.15808774399994,41.155840271,9108,MARCO DE CANAVESES,3,0,0,2020/03/24 12:00:00,1307
-7.18763684099997,41.50872034,9109,MIRANDELA,3,0,0,2020/03/24 12:00:00,0407
-8.67772409499997,39.9266197090001,9110,POMBAL,3,0,0,2020/03/24 12:00:00,1015
-8.34590362799997,37.2704221390001,9111,SILVES,3,0,0,2020/03/24 12:00:00,0813
-8.62013186199994,40.0668475,9112,SOURE,3,0,0,2020/03/24 12:00:00,0615
-8.33595427699993,40.833481572,9113,VALE DE CAMBRA,3,0,0,2020/03/24 12:00:00,0119
-9.15647596,38.737942796,9114,LISBOA,187,0,0,2020/03/25 12:00:00,1106
-8.62165234199995,41.161641108,9115,PORTO,137,0,0,2020/03/25 12:00:00,1312
-8.60156280499996,41.2447796100001,9116,MAIA,119,0,0,2020/03/25 12:00:00,1306
-8.58046458899997,41.0746034160001,9117,VILA NOVA DE GAIA,83,0,0,2020/03/25 12:00:00,1317
-8.49428629699997,41.2064478550001,9118,VALONGO,71,0,0,2020/03/25 12:00:00,1315
-8.48307961599994,41.109544919,9119,GONDOMAR,62,0,0,2020/03/25 12:00:00,1304
-8.61985292,40.8765625930001,9120,OVAR,58,0,0,2020/03/25 12:00:00,0115
-8.67174399199996,41.213012115,9121,MATOSINHOS,56,0,0,2020/03/25 12:00:00,1308
-9.40095515,38.725011174,9122,CASCAIS,43,0,0,2020/03/25 12:00:00,1105
-9.35759928299996,38.8231430590001,9123,SINTRA,43,0,0,2020/03/25 12:00:00,1111
-8.44628443799996,40.2161326660001,9124,COIMBRA,41,0,0,2020/03/25 12:00:00,0603
-8.5108260499999,40.967152583,9125,SANTA MARIA DA FEIRA,39,0,0,2020/03/25 12:00:00,0109
-9.19307693899998,38.6351475800001,9126,ALMADA,35,0,0,2020/03/25 12:00:00,1503
-9.10889166699997,38.6048511120001,9127,SEIXAL,29,0,0,2020/03/25 12:00:00,1510
-9.15138004099998,38.8611177380001,9128,LOURES,28,0,0,2020/03/25 12:00:00,1107
